"","prefecture","time","birth"
"13039","Mie",2021.73076923077,211.987426035503
"13040","Mie",2021.75,211.927884615385
"13041","Mie",2021.76923076923,211.868343195266
"13042","Mie",2021.78846153846,211.808801775148
"13043","Mie",2021.80769230769,211.749260355029
"13044","Mie",2021.82692307692,211.689718934911
"13045","Mie",2021.84615384615,211.630177514793
"13046","Mie",2021.86538461538,211.570636094675
"13047","Mie",2021.88461538462,211.511094674556
"13048","Mie",2021.90384615385,211.451553254438
"13049","Mie",2021.92307692308,211.39201183432
"13050","Mie",2021.94230769231,211.332470414201
"13051","Mie",2021.96153846154,211.272928994083
"13052","Mie",2021.98076923077,211.213387573964
"13053","Mie",2022,211.153846153846
"13054","Mie",2022.01923076923,210.97226331361
"13055","Mie",2022.03846153846,210.790680473374
"13056","Mie",2022.05769230769,210.609097633135
"13057","Mie",2022.07692307692,210.427514792899
"13058","Mie",2022.09615384615,210.245931952663
"13059","Mie",2022.11538461538,210.064349112427
"13060","Mie",2022.13461538462,209.882766272189
"13061","Mie",2022.15384615385,209.701183431952
"13062","Mie",2022.17307692308,209.519600591716
"13063","Mie",2022.19230769231,209.33801775148
"13064","Mie",2022.21153846154,209.156434911242
"13065","Mie",2022.23076923077,208.974852071005
"13066","Mie",2022.25,208.793269230769
"13067","Mie",2022.26923076923,208.611686390533
"13068","Mie",2022.28846153846,208.430103550297
"13069","Mie",2022.30769230769,208.248520710059
"13070","Mie",2022.32692307692,208.066937869822
"13071","Mie",2022.34615384615,207.885355029586
"13072","Mie",2022.36538461538,207.70377218935
"13073","Mie",2022.38461538462,207.522189349112
"13074","Mie",2022.40384615385,207.340606508875
"13075","Mie",2022.42307692308,207.159023668639
"13076","Mie",2022.44230769231,206.977440828403
"13077","Mie",2022.46153846154,206.795857988165
"13078","Mie",2022.48076923077,206.614275147929
"13079","Mie",2022.5,206.432692307692
"13080","Mie",2022.51923076923,206.251109467456
"13081","Mie",2022.53846153846,206.06952662722
"13082","Mie",2022.55769230769,205.887943786982
"13083","Mie",2022.57692307692,205.706360946745
"13084","Mie",2022.59615384615,205.524778106509
"13085","Mie",2022.61538461538,205.343195266273
"13086","Mie",2022.63461538462,205.161612426035
"13087","Mie",2022.65384615385,204.980029585798
"13088","Mie",2022.67307692308,204.798446745562
"13089","Mie",2022.69230769231,204.616863905326
"13090","Mie",2022.71153846154,204.435281065088
"13091","Mie",2022.73076923077,204.253698224852
"13092","Mie",2022.75,204.072115384615
"13093","Mie",2022.76923076923,203.890532544379
"13094","Mie",2022.78846153846,203.708949704143
"13095","Mie",2022.80769230769,203.527366863905
"13096","Mie",2022.82692307692,203.345784023668
"13097","Mie",2022.84615384615,203.164201183432
"13098","Mie",2022.86538461538,202.982618343196
"13099","Mie",2022.88461538462,202.801035502958
"13100","Mie",2022.90384615385,202.619452662722
"13101","Mie",2022.92307692308,202.437869822485
"13102","Mie",2022.94230769231,202.256286982249
"13103","Mie",2022.96153846154,202.074704142011
"13104","Mie",2022.98076923077,201.893121301775
"13105","Mie",2023,201.711538461538
"13106","Mie",2023.01923076923,201.711538461538
"13107","Mie",2023.03846153846,201.711538461538
"13108","Mie",2023.05769230769,201.711538461538
"13109","Mie",2023.07692307692,201.711538461538
"13110","Mie",2023.09615384615,201.711538461538
"13111","Mie",2023.11538461538,201.711538461538
"13112","Mie",2023.13461538462,201.711538461538
"13113","Mie",2023.15384615385,201.711538461538
"13114","Mie",2023.17307692308,201.711538461538
"13115","Mie",2023.19230769231,201.711538461538
"13116","Mie",2023.21153846154,201.711538461538
"13117","Mie",2023.23076923077,201.711538461538
"13118","Mie",2023.25,201.711538461538
"13119","Mie",2023.26923076923,201.711538461538
"13120","Mie",2023.28846153846,201.711538461538
"13121","Mie",2023.30769230769,201.711538461538
"13122","Mie",2023.32692307692,201.711538461538
"13123","Mie",2023.34615384615,201.711538461538
"13124","Mie",2023.36538461538,201.711538461538
"13125","Mie",2023.38461538462,201.711538461538
"13126","Mie",2023.40384615385,201.711538461538
"13127","Mie",2023.42307692308,201.711538461538
"13128","Mie",2023.44230769231,201.711538461538
"13129","Mie",2023.46153846154,201.711538461538
"13130","Mie",2023.48076923077,201.711538461538
"13131","Mie",2023.5,201.711538461538
"13132","Mie",2023.51923076923,201.711538461538
"13133","Mie",2023.53846153846,201.711538461538
"13134","Mie",2023.55769230769,201.711538461538
"13135","Mie",2023.57692307692,201.711538461538
"13136","Mie",2023.59615384615,201.711538461538
"13137","Mie",2023.61538461538,201.711538461538
"13138","Mie",2023.63461538462,201.711538461538
"13139","Mie",2023.65384615385,201.711538461538
"13140","Mie",2023.67307692308,201.711538461538
"13141","Mie",2023.69230769231,201.711538461538
"13142","Mie",2023.71153846154,201.711538461538
"13143","Mie",2023.73076923077,201.711538461538
"13144","Mie",2023.75,201.711538461538
"13145","Mie",2023.76923076923,201.711538461538
"13146","Mie",2023.78846153846,201.711538461538
"13147","Mie",2023.80769230769,201.711538461538
"13148","Mie",2023.82692307692,201.711538461538
"13149","Mie",2023.84615384615,201.711538461538
"13150","Mie",2023.86538461538,201.711538461538
"13151","Mie",2023.88461538462,201.711538461538
"13152","Mie",2023.90384615385,201.711538461538
"13153","Mie",2023.92307692308,201.711538461538
"13154","Mie",2023.94230769231,201.711538461538
"13155","Mie",2023.96153846154,201.711538461538
"13156","Mie",2023.98076923077,201.711538461538
"13157","Miyagi",2013,359.75
"13158","Miyagi",2013.01923076923,359.83949704142
"13159","Miyagi",2013.03846153846,359.92899408284
"13160","Miyagi",2013.05769230769,360.018491124261
"13161","Miyagi",2013.07692307692,360.107988165681
"13162","Miyagi",2013.09615384615,360.1974852071
"13163","Miyagi",2013.11538461538,360.28698224852
"13164","Miyagi",2013.13461538462,360.376479289941
"13165","Miyagi",2013.15384615385,360.465976331361
"13166","Miyagi",2013.17307692308,360.555473372781
"13167","Miyagi",2013.19230769231,360.644970414201
"13168","Miyagi",2013.21153846154,360.734467455622
"13169","Miyagi",2013.23076923077,360.823964497042
"13170","Miyagi",2013.25,360.913461538462
"13171","Miyagi",2013.26923076923,361.002958579881
"13172","Miyagi",2013.28846153846,361.092455621301
"13173","Miyagi",2013.30769230769,361.181952662722
"13174","Miyagi",2013.32692307692,361.271449704142
"13175","Miyagi",2013.34615384615,361.360946745562
"13176","Miyagi",2013.36538461538,361.450443786982
"13177","Miyagi",2013.38461538462,361.539940828403
"13178","Miyagi",2013.40384615385,361.629437869823
"13179","Miyagi",2013.42307692308,361.718934911243
"13180","Miyagi",2013.44230769231,361.808431952662
"13181","Miyagi",2013.46153846154,361.897928994083
"13182","Miyagi",2013.48076923077,361.987426035503
"13183","Miyagi",2013.5,362.076923076923
"13184","Miyagi",2013.51923076923,362.166420118343
"13185","Miyagi",2013.53846153846,362.255917159763
"13186","Miyagi",2013.55769230769,362.345414201184
"13187","Miyagi",2013.57692307692,362.434911242604
"13188","Miyagi",2013.59615384615,362.524408284023
"13189","Miyagi",2013.61538461538,362.613905325443
"13190","Miyagi",2013.63461538462,362.703402366864
"13191","Miyagi",2013.65384615385,362.792899408284
"13192","Miyagi",2013.67307692308,362.882396449704
"13193","Miyagi",2013.69230769231,362.971893491124
"13194","Miyagi",2013.71153846154,363.061390532545
"13195","Miyagi",2013.73076923077,363.150887573965
"13196","Miyagi",2013.75,363.240384615385
"13197","Miyagi",2013.76923076923,363.329881656804
"13198","Miyagi",2013.78846153846,363.419378698224
"13199","Miyagi",2013.80769230769,363.508875739645
"13200","Miyagi",2013.82692307692,363.598372781065
"13201","Miyagi",2013.84615384615,363.687869822485
"13202","Miyagi",2013.86538461538,363.777366863905
"13203","Miyagi",2013.88461538462,363.866863905326
"13204","Miyagi",2013.90384615385,363.956360946746
"13205","Miyagi",2013.92307692308,364.045857988166
"13206","Miyagi",2013.94230769231,364.135355029585
"13207","Miyagi",2013.96153846154,364.224852071006
"13208","Miyagi",2013.98076923077,364.314349112426
"13209","Miyagi",2014,364.403846153846
"13210","Miyagi",2014.01923076923,364.078402366865
"13211","Miyagi",2014.03846153846,363.752958579883
"13212","Miyagi",2014.05769230769,363.427514792898
"13213","Miyagi",2014.07692307692,363.102071005917
"13214","Miyagi",2014.09615384615,362.776627218935
"13215","Miyagi",2014.11538461538,362.451183431954
"13216","Miyagi",2014.13461538462,362.125739644969
"13217","Miyagi",2014.15384615385,361.800295857988
"13218","Miyagi",2014.17307692308,361.474852071006
"13219","Miyagi",2014.19230769231,361.149408284025
"13220","Miyagi",2014.21153846154,360.82396449704
"13221","Miyagi",2014.23076923077,360.498520710058
"13222","Miyagi",2014.25,360.173076923077
"13223","Miyagi",2014.26923076923,359.847633136096
"13224","Miyagi",2014.28846153846,359.522189349114
"13225","Miyagi",2014.30769230769,359.196745562129
"13226","Miyagi",2014.32692307692,358.871301775148
"13227","Miyagi",2014.34615384615,358.545857988166
"13228","Miyagi",2014.36538461538,358.220414201185
"13229","Miyagi",2014.38461538462,357.8949704142
"13230","Miyagi",2014.40384615385,357.569526627218
"13231","Miyagi",2014.42307692308,357.244082840237
"13232","Miyagi",2014.44230769231,356.918639053256
"13233","Miyagi",2014.46153846154,356.59319526627
"13234","Miyagi",2014.48076923077,356.267751479289
"13235","Miyagi",2014.5,355.942307692308
"13236","Miyagi",2014.51923076923,355.616863905326
"13237","Miyagi",2014.53846153846,355.291420118345
"13238","Miyagi",2014.55769230769,354.96597633136
"13239","Miyagi",2014.57692307692,354.640532544378
"13240","Miyagi",2014.59615384615,354.315088757397
"13241","Miyagi",2014.61538461538,353.989644970416
"13242","Miyagi",2014.63461538462,353.66420118343
"13243","Miyagi",2014.65384615385,353.338757396449
"13244","Miyagi",2014.67307692308,353.013313609468
"13245","Miyagi",2014.69230769231,352.687869822486
"13246","Miyagi",2014.71153846154,352.362426035501
"13247","Miyagi",2014.73076923077,352.03698224852
"13248","Miyagi",2014.75,351.711538461538
"13249","Miyagi",2014.76923076923,351.386094674557
"13250","Miyagi",2014.78846153846,351.060650887576
"13251","Miyagi",2014.80769230769,350.73520710059
"13252","Miyagi",2014.82692307692,350.409763313609
"13253","Miyagi",2014.84615384615,350.084319526628
"13254","Miyagi",2014.86538461538,349.758875739646
"13255","Miyagi",2014.88461538462,349.433431952661
"13256","Miyagi",2014.90384615385,349.10798816568
"13257","Miyagi",2014.92307692308,348.782544378699
"13258","Miyagi",2014.94230769231,348.457100591717
"13259","Miyagi",2014.96153846154,348.131656804732
"13260","Miyagi",2014.98076923077,347.806213017751
"13261","Miyagi",2015,347.480769230769
"13262","Miyagi",2015.01923076923,347.46375739645
"13263","Miyagi",2015.03846153846,347.44674556213
"13264","Miyagi",2015.05769230769,347.429733727811
"13265","Miyagi",2015.07692307692,347.412721893491
"13266","Miyagi",2015.09615384615,347.395710059172
"13267","Miyagi",2015.11538461538,347.378698224852
"13268","Miyagi",2015.13461538462,347.361686390532
"13269","Miyagi",2015.15384615385,347.344674556213
"13270","Miyagi",2015.17307692308,347.327662721893
"13271","Miyagi",2015.19230769231,347.310650887574
"13272","Miyagi",2015.21153846154,347.293639053254
"13273","Miyagi",2015.23076923077,347.276627218935
"13274","Miyagi",2015.25,347.259615384615
"13275","Miyagi",2015.26923076923,347.242603550296
"13276","Miyagi",2015.28846153846,347.225591715976
"13277","Miyagi",2015.30769230769,347.208579881657
"13278","Miyagi",2015.32692307692,347.191568047337
"13279","Miyagi",2015.34615384615,347.174556213018
